Port,TCP,UDP,Description
123,Assigned,Yes,Network Time Protocol (NTP), used for time synchronization[11]
124,Assigned,Assigned,ANSA REX Trader
125,Assigned,Assigned,Locus PC-Interface Net Map Ser
126,Yes,Yes,Formerly Unisys Unitary Login, renamed by Unisys to NXEdit. Used by Unisys Programmer's Workbench for Clearpath MCP, an IDE for Unisys MCP software development
127,Assigned,Assigned,Locus PC-Interface Conn Server
128,Assigned,Assigned,GSS X License Verification
129,Assigned,Assigned,Password Generator Protocol
130,Assigned,Assigned,Cisco FNATIVE
131,Assigned,Assigned,Cisco TNATIVE
132,Assigned,Assigned,Cisco SYSMAINT
133,Assigned,Assigned,Statistics Service (statsrv)
134,Assigned,Assigned,INGRES-NET Service
135,Yes,Yes,DCE endpoint resolution
136,Assigned,Assigned,PROFILE Naming System
137,Yes,Yes,NetBIOS Name Service, used for name registration and resolution[69][70]
138,Assigned,Yes,NetBIOS Datagram Service[11][69][70]
139,Yes,Assigned,NetBIOS Session Service[69][70]
140,Assigned,Assigned,EMFIS Data Service
141,Assigned,Assigned,EMFIS Control Service
142,Assigned,Assigned,Britton-Lee IDM
143,Yes,Assigned,Internet Message Access Protocol (IMAP),[11] management of electronic mail messages on a server[71]
144,Assigned,Assigned,Universal Management Architecture
145,Assigned,Assigned,UAAC Protocol
146,Assigned,Assigned,ISO-IP0
147,Assigned,Assigned,ISO-IP
148,Assigned,Assigned,Jargon
149,Assigned,Assigned,AED 512 Emulation Service
150,Assigned,Assigned,SQL-NET
151,Assigned,Assigned,HEMS
152,Yes,Yes,Background File Transfer Program (BFTP)[72][importance?]
153,Yes,Yes,Simple Gateway Monitoring Protocol (SGMP), a protocol for remote inspection and alteration of gateway management information[73]
154,Assigned,Assigned,netsc-prod
155,Assigned,Assigned,netsc-dev
156,Yes,Yes,Structured Query Language (SQL) Service[jargon]
157,Assigned,Assigned,KNET/VM Command/Message Protocol
158,Yes,Yes,Distributed Mail System Protocol (DMSP, sometimes referred to as Pcmail)[74][importance?]
159,Assigned,Assigned,NSS-Routing
160,Assigned,Assigned,SGMP-TRAPS
161,Assigned,Yes,Simple Network Management Protocol (SNMP)[75][citation needed][11]
162,Yes,Yes,Simple Network Management Protocol Trap (SNMPTRAP)[75][76][citation needed]
163,Assigned,Assigned,CMIP/TCP Manager
164,Assigned,Assigned,CMIP/TCP Agent
165,Assigned,Assigned,Xerox
166,Assigned,Assigned,Sirius Systems
167,Assigned,Assigned,NAMP[disambiguation needed]
168,Assigned,Assigned,RSVD
169,Assigned,Assigned,SEND
170,Yes,Yes,Network PostScript print server
171,Assigned,Assigned,Network Innovations Multiplex
172,Assigned,Assigned,Network Innovations CL/1
173,Assigned,Assigned,Xyplex
174,Assigned,Assigned,MAILQ
175,Assigned,Assigned,VMNET
176,Assigned,Assigned,GENRAD-MUX
177,Yes,Yes,X Display Manager Control Protocol (XDMCP), used for remote logins to an X Display Manager server[77][self-published source]
178,Assigned,Assigned,NextStep Window Server
179,Yes,Assigned,Border Gateway Protocol (BGP),[78] used to exchange routing and reachability information among autonomous systems (AS) on the Internet
180,Assigned,Assigned,ris
181,Assigned,Assigned,Unify[disambiguation needed]
182,Assigned,Assigned,Unisys Audit SITP
183,Assigned,Assigned,OCBinder
184,Assigned,Assigned,OCServer
185,Assigned,Assigned,Remote-KIS
186,Assigned,Assigned,KIS Protocol
187,Assigned,Assigned,Application Communication Interface
188,Assigned,Assigned,Plus Five's MUMPS
189,Assigned,Assigned,Queued File Transport
190,Assigned,Assigned,Gateway Access Control Protocol
191,Assigned,Assigned,Prospero Directory Service
192,Assigned,Assigned,OSU Network Monitoring System
193,Assigned,Assigned,Spider Remote Monitoring Protocol
194,Yes,Yes,Internet Relay Chat (IRC)[79]
195,Assigned,Assigned,DNSIX Network Layer Module Audit
196,Assigned,Assigned,DNSIX Session Mgt Module Audit Redir
197,Assigned,Assigned,Directory Location Service
